obs	floron	Latijnse naam	
7290	1043	Ranunculus auricomus	
7291	1044	Ranunculus baudotii	
7292	1045	Ranunculus bulbosus	
7293	1046	Ranunculus circinatus	
7295	1048	Ranunculus flammula	
2709	1050	Ranunculus hederaceus	
7296	1051	Ranunculus lingua	
7297	1055	Ranunculus peltatus	
7299	1056	Ranunculus repens	
7300	1057	Ranunculus sardous	
7301	1058	Ranunculus sceleratus	
7302	1061	Raphanus raphanistrum	
7303	1827	Raphanus sativus	
7304	1764	Rapistrum rugosum	
7306	1062	Reseda lutea	
7307	1063	Reseda luteola	
7308	1064	Rhamnus cathartica	
7309	530	Rhamnus frangula	
7310	1066	Rhinanthus angustifolius	
2716	1067	Rhinanthus minor	
7312	2105	Rhododendron ponticum	
2717	1068	Rhynchospora alba	
2718	1069	Rhynchospora fusca	
7315	2106	Ribes alpinum	
7316	1070	Ribes nigrum	
7317	1071	Ribes rubrum	
7318	1072	Ribes uva-crispa	
26821	1877	Robinia pseudoacacia	
7321	1074	Rorippa amphibia	
7322	1075	Rorippa austriaca	
7325	1076	Rorippa palustris	
7326	1078	Rorippa sylvestris	
7327	1080	Rosa arvensis	
7328	1643	Rosa canina	
7333	1083	Rosa pimpinellifolia	
7334	1645	Rosa rubiginosa	
7335	1085	Rosa rugosa	
70125	1644	Rosa villosa	
7341	1089	Rubus caesius	
7351	2009	Rubus corylifolius	
7345	1634	Rubus fruticosus	
